iter	Passed	Remaining
487	554	582
488	555	580
489	557	580
490	558	579
491	559	577
492	560	576
493	561	574
494	561	573
495	562	571
496	563	569
497	563	568
498	564	566
499	565	565
500	566	563
501	566	562
502	567	560
503	568	559
504	569	558
505	570	556
506	570	555
507	573	555
508	574	553
509	575	552
510	576	551
511	576	549
512	577	548
513	578	546
514	579	545
515	579	543
516	580	542
517	581	541
518	582	539
519	583	538
520	583	536
521	584	535
522	585	533
523	585	532
524	586	530
525	589	530
526	589	529
527	590	527
528	591	526
529	592	525
530	592	523
531	593	522
532	594	520
533	595	519
534	595	517
535	596	516
536	597	514
537	597	513
538	598	512
539	599	510
540	600	509
541	600	507
542	601	506
543	604	506
544	604	505
545	605	503
546	606	502
547	607	500
548	607	499
549	608	497
550	609	496
551	610	495
552	610	493
553	611	492
554	612	490
555	613	489
556	613	488
557	614	486
558	615	485
559	616	484
560	616	482
561	617	481
562	620	481
563	620	479
564	621	478
565	622	477
566	623	475
567	623	474
568	624	473
569	625	471
570	626	470
571	626	469
572	627	467
573	628	466
574	629	465
575	629	463
576	630	462
577	631	460
578	632	459
579	632	458
580	635	458
581	635	456
582	636	455
583	637	454
584	638	452
585	638	451
586	639	449
587	640	448
588	640	447
589	641	445
590	642	444
591	643	443
592	643	441
593	644	440
594	645	439
595	646	437
596	646	436
597	647	435
598	648	433
599	650	433
600	651	432
601	652	431
602	652	429
603	653	428
604	654	427
605	655	425
606	655	424
607	656	423
608	657	422
609	658	420
610	658	419
611	659	418
612	660	416
613	661	415
614	661	414
615	662	413
616	663	411
617	665	411
618	666	410
619	667	409
620	668	407
621	669	406
622	669	405
623	670	404
624	671	402
625	672	401
626	672	400
627	673	399
628	674	397
629	675	396
630	675	395
631	676	393
632	677	392
633	678	391
634	678	390
635	681	389
636	681	388
637	682	387
638	683	386
639	684	384
640	684	383
641	685	382
642	686	381
643	687	380
644	688	378
645	689	377
646	689	376
647	690	375
648	691	373
649	692	372
650	692	371
651	693	370
652	694	368
653	696	368
654	697	367
655	698	366
656	699	365
657	699	363
658	700	362
659	701	361
660	702	360
661	703	358
662	703	357
663	704	356
664	705	355
665	706	354
666	706	352
667	707	351
668	708	350
669	709	349
670	709	348
671	712	347
672	713	346
673	713	345
674	714	344
675	715	342
676	716	341
677	716	340
678	717	339
679	718	338
680	719	336
681	719	335
682	720	334
683	721	333
684	722	332
685	722	330
686	723	329
687	724	328
688	725	327
689	727	326
690	728	325
691	729	324
692	729	323
693	730	322
694	731	320
695	732	319
696	732	318
697	733	317
698	734	316
699	735	315
700	735	313
701	736	312
702	737	311
703	737	310
704	738	309
705	739	307
706	740	306
707	740	305
708	743	305
709	744	303
710	744	302
711	745	301
712	746	300
713	747	299
714	747	298
715	748	296
716	749	295
717	750	294
718	750	293
719	751	292
720	752	291
721	753	289
722	753	288
723	754	287
724	756	286
725	760	286
726	761	285
727	761	284
728	762	283
729	763	282
730	764	281
731	764	280
732	765	278
733	766	277
734	767	276
735	801	287
736	803	286
737	803	285
738	804	284
739	807	283
740	808	282
741	809	281
742	810	280
743	811	279
744	811	277
745	812	276
746	813	275
747	814	274
748	815	273
749	816	272
750	817	270
751	818	269
752	819	268
753	819	267
754	820	266
755	837	270
756	839	269
757	840	268
758	841	267
759	842	265
760	843	264
761	844	263
762	854	265
763	855	264
764	856	263
765	857	261
766	858	260
767	859	259
768	860	258
769	861	257
770	862	256
771	863	254
772	863	253
773	864	252
774	865	251
775	866	250
776	867	249
777	869	248
778	870	247
779	871	245
780	872	244
781	873	243
782	873	242
783	874	241
784	875	239
785	878	239
786	881	238
787	889	239
788	890	238
789	891	237
790	892	235
791	894	234
792	895	233
793	898	233
794	899	231
795	900	230
796	903	230
797	904	229
798	932	234
799	933	233
800	934	232
801	935	231
802	936	229
803	938	228
804	938	227
805	939	226
806	940	224
807	941	223
808	942	222
809	942	221
810	943	219
811	944	218
812	945	217
813	945	216
814	948	215
815	949	214
816	950	212
817	951	211
818	951	210
819	952	209
820	953	207
821	954	206
822	954	205
823	955	204
824	956	202
825	956	201
826	957	200
827	958	199
828	959	197
829	959	196
830	960	195
831	961	194
832	962	192
833	963	191
834	964	190
835	964	189
836	965	188
837	966	186
838	967	185
839	967	184
840	968	183
841	969	181
842	970	180
843	970	179
844	971	178
845	972	176
846	972	175
847	973	174
848	974	173
849	975	172
850	977	171
851	978	170
852	979	168
853	980	167
854	981	166
855	981	165
856	982	163
857	983	162
858	983	161
859	984	160
860	985	159
861	986	157
862	986	156
863	987	155
864	988	154
865	989	153
866	989	151
867	992	150
868	993	149
869	994	148
870	997	147
871	998	146
872	999	145
873	1000	144
874	1001	143
875	1002	141
876	1003	140
877	1004	139
878	1005	138
879	1006	137
880	1008	136
881	1009	135
882	1010	133
883	1011	132
884	1012	131
885	1013	130
886	1013	129
